stkcd,shortname,aisoftinvest,aihardinvest,aiinvesttotal,aiinvestlevel,year,AI_Intensity,AI_Amount,AI_Dummy,first_ai_year,Treat,Post,IV1,IV2,AI_Intensity_lag1,AI_Amount_lag1,AI_Dummy_lag1
7,零七股份,250833.44,422310.48,673143.92,0.0014,2015,673143.92,13.41971591976968,1,2012,1,1,140522083.91206482,,1638628.81,14.309370968883703,1.0
7,全新好,207833.48,761619.33,969452.81,0.0019,2016,969452.81,13.784488109414866,1,2012,1,1,127443425.31747851,,673143.92,13.41971591976968,1.0
7,全新好,325608.52,301133.57,626742.09,0.0014,2017,626742.09,13.348291990830125,1,2012,1,1,122727009.01785138,,969452.81,13.784488109414866,1.0
7,全新好,290475.22,313438.83,603914.05,0.0011,2018,603914.05,13.311188821330054,1,2012,1,1,135578842.30059227,,626742.09,13.348291990830125,1.0
7,全新好,232450.22,320777.04,553227.26,0.001,2019,553227.26,13.223525962066665,1,2012,1,1,142788275.93914923,,603914.05,13.311188821330054,1.0
7,全新好,169150.22,295604.94,473250.7,0.0013,2020,473250.7,13.070303958039021,1,2012,1,1,142510111.68382886,,553227.26,13.223525962066665,1.0
7,全新好,89133.17,1308262.34,1397395.51,0.0039,2022,1397395.51,14.15012142760202,1,2012,1,1,127032671.78248058,,473250.7,13.070303958039021,1.0
8,神州高铁,1873793.34,5718758.01,7592551.35,0.0021,2015,7592551.35,15.842678370840405,1,2015,1,1,140522083.91206482,,,,
8,神州高铁,4177126.53,13930234.5,18107361.03,0.0022,2016,18107361.03,16.711829155527905,1,2015,1,1,127443425.31747851,,7592551.35,15.842678370840405,1.0
8,神州高铁,4875495.78,15894860.55,20770356.33,0.0019,2017,20770356.33,16.849037399844892,1,2015,1,1,122727009.01785138,,18107361.03,16.711829155527905,1.0
8,神州高铁,23994115.09,17362288.02,41356403.11,0.004,2018,41356403.11,17.537737843137258,1,2015,1,1,135578842.30059227,,20770356.33,16.849037399844892,1.0
8,神州高铁,58325333.52,16797526.53,75122860.05,0.0062,2019,75122860.05,18.134635478534115,1,2015,1,1,142788275.93914923,,41356403.11,17.537737843137258,1.0
8,神州高铁,67077751.3,29878400.08,96956151.38,0.0076,2020,96956151.38,18.3897693969484,1,2015,1,1,142510111.68382886,,75122860.05,18.134635478534115,1.0
8,神州高铁,54980224.67,22905924.02,77886148.69,0.0063,2021,77886148.69,18.17075869901285,1,2015,1,1,136327382.172662,,96956151.38,18.3897693969484,1.0
8,神州高铁,41541968.96,13868333.66,55410302.62,0.0049,2022,55410302.62,17.830276120344852,1,2015,1,1,127032671.78248058,,77886148.69,18.17075869901285,1.0
8,神州高铁,19600170.67,8896637.0,28496807.67,0.0027,2023,28496807.67,17.165302662477817,1,2015,1,1,136101505.17990837,,55410302.62,17.830276120344852,1.0
9,中国宝安,1371856.3,13113634.23,14485490.53,0.0014,2010,14485490.53,16.488658122334396,1,2010,1,1,131660029.09575924,,,,
9,中国宝安,1104288.58,25795156.09,26899444.67,0.0023,2011,26899444.67,17.107616237296543,1,2010,1,1,105015746.08454272,,14485490.53,16.488658122334396,1.0
9,中国宝安,3600511.36,30121883.5,33722394.86,0.0026,2012,33722394.86,17.333672740175306,1,2010,1,1,109139859.98540215,,26899444.67,17.107616237296543,1.0
9,中国宝安,4270451.3,30153517.93,34423969.23,0.0025,2013,34423969.23,17.354263688696573,1,2010,1,1,115255679.49510665,,33722394.86,17.333672740175306,1.0
9,中国宝安,5212994.78,25620659.34,30833654.12,0.0021,2014,30833654.12,17.24411735008441,1,2010,1,1,221220797.47291237,,34423969.23,17.354263688696573,1.0
9,中国宝安,5045667.03,29826401.88,34872068.91,0.0019,2015,34872068.91,17.367196777658624,1,2010,1,1,140522083.91206482,,30833654.12,17.24411735008441,1.0
9,中国宝安,7075124.13,37920710.95,44995835.08,0.0021,2016,44995835.08,17.622080511897728,1,2010,1,1,127443425.31747851,,34872068.91,17.367196777658624,1.0
9,中国宝安,11297128.85,34163346.38,45460475.23,0.0017,2017,45460475.23,17.632353852136703,1,2010,1,1,122727009.01785138,,44995835.08,17.622080511897728,1.0
9,中国宝安,10561262.43,36240193.58,46801456.01,0.0016,2018,46801456.01,17.66142489309557,1,2010,1,1,135578842.30059227,,45460475.23,17.632353852136703,1.0
9,中国宝安,8722134.86,43991639.27,52713774.13,0.0017,2019,52713774.13,17.78038736702182,1,2010,1,1,142788275.93914923,,46801456.01,17.66142489309557,1.0
9,中国宝安,14483977.65,68489888.66,82973866.31,0.0026,2020,82973866.31,18.234036264497927,1,2010,1,1,142510111.68382886,,52713774.13,17.78038736702182,1.0
9,中国宝安,39674677.38,87237512.96,126912190.3,0.0034,2021,126912190.3,18.65900599820414,1,2010,1,1,136327382.172662,,82973866.31,18.234036264497927,1.0
9,中国宝安,44548541.68,140782165.4,185330707.1,0.0035,2022,185330707.1,19.037652398518365,1,2010,1,1,127032671.78248058,,126912190.3,18.65900599820414,1.0
9,中国宝安,43474761.42,256493938.8,299968700.2,0.006,2023,299968700.2,19.51918869784446,1,2010,1,1,136101505.17990837,,185330707.1,19.037652398518365,1.0
14,沙河股份,701991.59,1980141.05,2682132.64,0.0012,2015,2682132.64,14.802123170068567,1,2015,1,1,140522083.91206482,,,,
14,沙河股份,525891.59,1783164.13,2309055.72,0.0012,2016,2309055.72,14.652349652781568,1,2015,1,1,127443425.31747851,,2682132.64,14.802123170068567,1.0
14,沙河股份,349791.59,1315399.02,1665190.61,0.0011,2017,1665190.61,14.325450755856442,1,2015,1,1,122727009.01785138,,2309055.72,14.652349652781568,1.0
14,沙河股份,191391.81,1636731.52,1828123.33,0.001,2018,1828123.33,14.418801042906566,1,2015,1,1,135578842.30059227,,1665190.61,14.325450755856442,1.0
14,沙河股份,56291.85,1161948.08,1218239.93,0.0006,2019,1218239.93,14.012918515572354,1,2015,1,1,142788275.93914923,,1828123.33,14.418801042906566,1.0
16,深康佳A,45088626.96,35669931.67,80758558.63,0.0024,2018,80758558.63,18.206974516059173,1,2018,1,1,135578842.30059227,,,,
16,深康佳A,56716076.38,42928281.44,99644357.82,0.0023,2019,99644357.82,18.417117993085903,1,2018,1,1,142788275.93914923,,80758558.63,18.206974516059173,1.0
16,深康佳A,62968096.35,57687501.27,120655597.6,0.0024,2020,120655597.6,18.608450752605613,1,2018,1,1,142510111.68382886,,99644357.82,18.417117993085903,1.0
16,深康佳A,59957060.72,82394301.5,142351362.2,0.0036,2021,142351362.2,18.773808948038674,1,2018,1,1,136327382.172662,,120655597.6,18.608450752605613,1.0
16,深康佳A,75726882.23,99269403.19,174996285.4,0.0046,2022,174996285.4,18.9802753110912,1,2018,1,1,127032671.78248058,,142351362.2,18.773808948038674,1.0
16,深康佳A,73870684.8,99248428.97,173119113.8,0.0048,2023,173119113.8,18.969490440393052,1,2018,1,1,136101505.17990837,,174996285.4,18.9802753110912,1.0
18,神州B,1734904.74,3523517.78,5258422.52,0.0013,2015,5258422.52,15.47534182876495,1,2015,1,1,140522083.91206482,,,,
18,神州B,2637054.3,5202714.09,7839768.39,0.001,2016,7839768.39,15.874719977353157,1,2015,1,1,127443425.31747851,,5258422.52,15.47534182876495,1.0
18,神州B,1946341.91,3239397.6,5185739.51,0.0004,2017,5185739.51,15.461423207191773,1,2015,1,1,122727009.01785138,,7839768.39,15.874719977353157,1.0
18,神州B,1043372.99,2275828.6,3319201.59,0.0003,2018,3319201.59,15.015235128309,1,2015,1,1,135578842.30059227,,5185739.51,15.461423207191773,1.0
19,深粮控股,37806184.31,40055523.43,77861707.74,0.0102,2021,77861707.74,18.170444846219663,1,2021,1,1,136327382.172662,,,,
19,深粮控股,40979620.44,37009308.57,77988929.01,0.0105,2022,77988929.01,18.172077451633132,1,2021,1,1,127032671.78248058,,77861707.74,18.170444846219663,1.0
19,深粮控股,48311685.53,31208598.26,79520283.79,0.0107,2023,79520283.79,18.19152270166936,1,2021,1,1,136101505.17990837,,77988929.01,18.172077451633132,1.0
23,深天地A,710130.0,2443180.14,3153310.14,0.0026,2012,3153310.14,14.963963614280216,1,2012,1,1,109139859.98540215,,,,
23,深天地A,3328701.66,2486169.49,5814871.15,0.0043,2013,5814871.15,15.575929357450725,1,2012,1,1,115255679.49510665,,3153310.14,14.963963614280216,1.0
23,深天地A,2686031.5,1941959.32,4627990.82,0.003,2015,4627990.82,15.347633599791981,1,2012,1,1,140522083.91206482,,5814871.15,15.575929357450725,1.0
23,深天地A,693694.04,5846178.26,6539872.3,0.003,2021,6539872.3,15.693428350157035,1,2012,1,1,136327382.172662,,4627990.82,15.347633599791981,1.0
23,深天地A,340818.44,3261688.41,3602506.85,0.0024,2022,3602506.85,15.097140785895771,1,2012,1,1,127032671.78248058,,6539872.3,15.693428350157035,1.0
25,特力A,165833.42,2258143.37,2423976.79,0.004,2010,2423976.79,14.700920463588112,1,2010,1,1,131660029.09575924,,,,
25,特力A,115833.5,2040562.6,2156396.1,0.0038,2011,2156396.1,14.583949377724764,1,2010,1,1,105015746.08454272,,2423976.79,14.700920463588112,1.0
25,特力A,65833.58,2512538.5,2578372.08,0.004,2012,2578372.08,14.762669168845555,1,2010,1,1,109139859.98540215,,2156396.1,14.583949377724764,1.0
25,特力A,336904.2,2630910.6,2967814.8,0.0037,2014,2967814.8,14.903336819348874,1,2010,1,1,221220797.47291237,,2578372.08,14.762669168845555,1.0
25,特力A,522967.24,3119383.75,3642350.99,0.0031,2015,3642350.99,15.108140182046085,1,2010,1,1,140522083.91206482,,2967814.8,14.903336819348874,1.0
25,特力A,511663.6,2947460.95,3459124.55,0.0029,2016,3459124.55,15.056526383878118,1,2010,1,1,127443425.31747851,,3642350.99,15.108140182046085,1.0
25,特力A,347626.6,2088374.2,2436000.8,0.0017,2017,2436000.8,14.705868646727907,1,2010,1,1,122727009.01785138,,3459124.55,15.056526383878118,1.0
25,特力A,203906.29,2284115.41,2488021.7,0.0015,2018,2488021.7,14.726998856593799,1,2010,1,1,135578842.30059227,,2436000.8,14.705868646727907,1.0
25,特力A,573914.19,2841006.07,3414920.26,0.0021,2019,3414920.26,15.043664993620183,1,2010,1,1,142788275.93914923,,2488021.7,14.726998856593799,1.0
25,特力A,2723154.85,3281821.84,6004976.69,0.0035,2020,6004976.69,15.608099298252018,1,2010,1,1,142510111.68382886,,3414920.26,15.043664993620183,1.0
25,特力A,1766493.0,3900255.3,5666748.3,0.003,2021,5666748.3,15.550126195599,1,2010,1,1,136327382.172662,,6004976.69,15.608099298252018,1.0
25,特力A,3067803.56,3619963.69,6687767.25,0.003,2022,6687767.25,15.71579078153146,1,2010,1,1,127032671.78248058,,5666748.3,15.550126195599,1.0
25,特力A,2733083.88,2298603.49,5031687.37,0.0021,2023,5031687.37,15.431266145794455,1,2010,1,1,136101505.17990837,,6687767.25,15.71579078153146,1.0
26,飞亚达A,1763329.31,8792573.37,10555902.68,0.0043,2010,10555902.68,16.172195851895285,1,2010,1,1,131660029.09575924,,,,
26,飞亚达A,1814714.74,9161185.85,10975900.59,0.0038,2011,10975900.59,16.211212662981954,1,2010,1,1,105015746.08454272,,10555902.68,16.172195851895285,1.0
26,飞亚达A,1703090.91,8266644.55,9969735.46,0.003,2012,9969735.46,16.115064708288756,1,2010,1,1,109139859.98540215,,10975900.59,16.211212662981954,1.0
26,飞亚达A,1899941.73,8253606.79,10153548.52,0.0029,2013,10153548.52,16.133333908722978,1,2010,1,1,115255679.49510665,,9969735.46,16.115064708288756,1.0
26,飞亚达A,2003887.3,8732199.35,10736086.65,0.0029,2014,10736086.65,16.189121302280988,1,2010,1,1,221220797.47291237,,10153548.52,16.133333908722978,1.0
26,飞亚达A,3673875.24,9734728.07,13408603.31,0.0032,2015,13408603.31,16.411407171541562,1,2010,1,1,140522083.91206482,,10736086.65,16.189121302280988,1.0
26,飞亚达A,6739199.32,14461829.47,21201028.79,0.0053,2016,21201028.79,16.869560313462515,1,2010,1,1,127443425.31747851,,13408603.31,16.411407171541562,1.0
26,飞亚达A,15811103.39,15429851.05,31240954.44,0.0087,2018,31240954.44,17.25724046633492,1,2010,1,1,135578842.30059227,,21201028.79,16.869560313462515,1.0
26,飞亚达A,11665602.89,13300362.68,24965965.57,0.0066,2019,24965965.57,17.03302411817117,1,2010,1,1,142788275.93914923,,31240954.44,17.25724046633492,1.0
26,飞亚达,10521951.89,11270213.67,21792165.56,0.0054,2020,21792165.56,16.897061131073972,1,2010,1,1,142510111.68382886,,24965965.57,17.03302411817117,1.0
26,飞亚达,7507948.33,10420942.87,17928891.2,0.0044,2021,17928891.2,16.701924058954212,1,2010,1,1,136327382.172662,,21792165.56,16.897061131073972,1.0
26,飞亚达,7293784.36,10433200.05,17726984.41,0.0043,2022,17726984.41,16.69059863595728,1,2010,1,1,127032671.78248058,,17928891.2,16.701924058954212,1.0
26,飞亚达,7648818.87,12700676.98,20349495.85,0.0048,2023,20349495.85,16.82856674473149,1,2010,1,1,136101505.17990837,,17726984.41,16.69059863595728,1.0
26,飞亚达,8322163.17,11343814.83,19665978.0,0.0049,2024,19665978.0,16.79440074648886,1,2010,1,1,392510522.886506,,20349495.85,16.82856674473149,1.0
28,国药一致,86608737.24,26906181.71,113514919.0,0.0034,2019,113514919.0,18.547444839990938,1,2019,1,1,142788275.93914923,,,,
28,国药一致,87137399.19,43276650.93,130414050.1,0.0033,2020,130414050.1,18.686224955486153,1,2019,1,1,142510111.68382886,,113514919.0,18.547444839990938,1.0
28,国药一致,94592124.78,54202811.17,148794936.0,0.0035,2021,148794936.0,18.81807965424675,1,2019,1,1,136327382.172662,,130414050.1,18.686224955486153,1.0
28,国药一致,125342274.0,38450877.18,163793151.2,0.0038,2022,163793151.2,18.914114922648547,1,2019,1,1,127032671.78248058,,148794936.0,18.81807965424675,1.0
28,国药一致,128505824.8,36186079.13,164691904.0,0.0035,2023,164691904.0,18.919587043970328,1,2019,1,1,136101505.17990837,,163793151.2,18.914114922648547,1.0
29,深深房A,401866.67,3870648.08,4272514.75,0.0013,2010,4272514.75,15.267713380331385,1,2010,1,1,131660029.09575924,,,,
29,深深房A,553266.71,3882080.65,4435347.36,0.0014,2011,4435347.36,15.305116718555409,1,2010,1,1,105015746.08454272,,4272514.75,15.267713380331385,1.0
29,深深房A,1061146.83,4056797.03,5117943.86,0.0012,2014,5117943.86,15.448263521904092,1,2010,1,1,221220797.47291237,,4435347.36,15.305116718555409,1.0
29,深深房A,893566.83,3139258.4,4032825.23,0.001,2015,4032825.23,15.209977985895247,1,2010,1,1,140522083.91206482,,5117943.86,15.448263521904092,1.0
29,深深房A,341160.0,3307371.66,3648531.66,0.001,2016,3648531.66,15.109835633771702,1,2010,1,1,127443425.31747851,,4032825.23,15.209977985895247,1.0
29,深深房A,55200.0,2835535.64,2890735.64,0.0007,2017,2890735.64,14.877021920342544,1,2010,1,1,122727009.01785138,,3648531.66,15.109835633771702,1.0
29,深深房A,11168.75,2559464.84,2559464.84,0.0005,2019,2559464.84,14.755309138434,1,2010,1,1,142788275.93914923,,2890735.64,14.877021920342544,1.0
29,深深房A,11168.75,2476900.66,2476900.66,0.0005,2020,2476900.66,14.722519006431867,1,2010,1,1,142510111.68382886,,2559464.84,14.755309138434,1.0
29,深深房A,11168.75,1550972.04,1550972.04,0.0003,2021,1550972.04,14.254393059673623,1,2010,1,1,136327382.172662,,2476900.66,14.722519006431867,1.0
29,深深房A,11168.75,1456668.78,1456668.78,0.0003,2022,1456668.78,14.19166341570115,1,2010,1,1,127032671.78248058,,1550972.04,14.254393059673623,1.0
32,深桑达A,46030663.27,212592242.2,258622905.4,0.0059,2021,258622905.4,19.3708815988788,1,2021,1,1,136327382.172662,,,,
32,深桑达A,57360631.37,326203901.2,383564532.5,0.0073,2022,383564532.5,19.7650184397127,1,2021,1,1,127032671.78248058,,258622905.4,19.3708815988788,1.0
32,深桑达A,130758878.0,388256328.7,519015206.6,0.0092,2023,519015206.6,20.06744374243498,1,2021,1,1,136101505.17990837,,383564532.5,19.7650184397127,1.0
33,新都酒店,89412.64,2834433.09,2923845.73,0.0055,2010,2923845.73,14.888410680557282,1,2010,1,1,131660029.09575924,,,,
33,新都酒店,199290.09,2886549.18,3085839.27,0.006,2011,3085839.27,14.94233455100637,1,2010,1,1,105015746.08454272,,2923845.73,14.888410680557282,1.0
33,新都酒店,178796.99,3427672.21,3606469.2,0.0064,2013,3606469.2,15.098240068033,1,2010,1,1,115255679.49510665,,3085839.27,14.94233455100637,1.0
34,深信泰丰,89585.0,217041.69,473250.7,0.001,2012,473250.7,13.070303958039021,1,2012,1,1,109139859.98540215,,,,
34,深信泰丰,77424.96,2301021.42,2378446.38,0.0063,2013,2378446.38,14.681958471422869,1,2012,1,1,115255679.49510665,,473250.7,13.070303958039021,1.0
34,深信泰丰,58564.92,1938918.3,1997483.22,0.0043,2014,1997483.22,14.507399056716519,1,2012,1,1,221220797.47291237,,2378446.38,14.681958471422869,1.0
36,华联控股,67340.07,1723850.47,1791190.54,0.0004,2010,1791190.54,14.398391621164864,1,2010,1,1,131660029.09575924,,,,
36,华联控股,2156441.36,1834064.71,3990506.07,0.001,2011,3990506.07,15.199428866004437,1,2010,1,1,105015746.08454272,,1791190.54,14.398391621164864,1.0
36,华联控股,2627689.98,2087480.93,4715170.91,0.0011,2012,4715170.91,15.366295933618336,1,2010,1,1,109139859.98540215,,3990506.07,15.199428866004437,1.0
36,华联控股,2141786.65,2316357.75,4458144.4,0.0011,2013,4458144.4,15.310243407918733,1,2010,1,1,115255679.49510665,,4715170.91,15.366295933618336,1.0
36,华联控股,2264456.38,4040370.98,6304827.36,0.001,2015,6304827.36,15.656826304171592,1,2010,1,1,140522083.91206482,,4458144.4,15.310243407918733,1.0
36,华联控股,5475118.16,3131565.59,8606683.75,0.0009,2016,8606683.75,15.968049755796883,1,2010,1,1,127443425.31747851,,6304827.36,15.656826304171592,1.0
36,华联控股,4983607.04,2374534.85,7358141.89,0.0008,2017,7358141.89,15.811318134137558,1,2010,1,1,122727009.01785138,,8606683.75,15.968049755796883,1.0
36,华联控股,3304600.28,1384372.42,4688972.7,0.0004,2018,4688972.7,15.360724289184166,1,2010,1,1,135578842.30059227,,7358141.89,15.811318134137558,1.0
36,华联控股,2463364.05,746764.72,3210128.77,0.0003,2019,3210128.77,14.981821921080336,1,2010,1,1,142788275.93914923,,4688972.7,15.360724289184166,1.0
36,华联控股,1453382.32,1151196.26,2604578.58,0.0002,2020,2604578.58,14.77278183050958,1,2010,1,1,142510111.68382886,,3210128.77,14.981821921080336,1.0
36,华联控股,864157.54,793254.37,1657411.91,0.0002,2021,1657411.91,14.320768456675298,1,2010,1,1,136327382.172662,,2604578.58,14.77278183050958,1.0
36,华联控股,774855.04,740915.23,1515770.27,0.0002,2022,1515770.27,14.23143495649262,1,2010,1,1,127032671.78248058,,1657411.91,14.320768456675298,1.0
36,华联控股,764175.04,592021.95,1356196.99,0.0002,2023,1356196.99,14.120195747148491,1,2010,1,1,136101505.17990837,,1515770.27,14.23143495649262,1.0
37,深南电B,168015.89,8669486.63,8837502.52,0.0043,2023,8837502.52,15.994514987489573,1,2023,1,1,136101505.17990837,,,,
38,深大通,57906464.47,3299691.72,61206156.19,0.0096,2016,61206156.19,17.92975835010168,1,2016,1,1,127443425.31747851,,,,
38,深大通,56116043.51,3900836.1,60016879.61,0.0104,2017,60016879.61,17.910136424116715,1,2016,1,1,122727009.01785138,,61206156.19,17.92975835010168,1.0
38,深大通,53158105.79,3355168.48,56513274.27,0.0186,2018,56513274.27,17.84998612904874,1,2016,1,1,135578842.30059227,,60016879.61,17.910136424116715,1.0
38,深大通,5786473.87,1189638.81,6976112.68,0.0024,2019,6976112.68,15.758002540309736,1,2016,1,1,142788275.93914923,,56513274.27,17.84998612904874,1.0
38,深大通,5019647.66,1011721.29,6031368.95,0.0019,2020,6031368.95,15.61248473195457,1,2016,1,1,142510111.68382886,,6976112.68,15.758002540309736,1.0
38,深大通,549538.65,4105480.68,4655019.33,0.0016,2021,4655019.33,15.353456836030707,1,2016,1,1,136327382.172662,,6031368.95,15.61248473195457,1.0
43,中航地产,72100.0,11791551.52,11863651.52,0.0015,2010,11863651.52,16.288989873766806,1,2010,1,1,131660029.09575924,,,,
45,深纺织A,1277931.18,15239820.62,16517751.8,0.0033,2020,16517751.8,16.619946287748625,1,2020,1,1,142510111.68382886,,,,
45,深纺织A,14759504.03,24275028.6,39034532.63,0.007,2021,39034532.63,17.479957289982128,1,2020,1,1,136327382.172662,,16517751.8,16.619946287748625,1.0
45,深纺织A,11208481.3,16151694.87,27360176.17,0.0049,2022,27360176.17,17.124599126209354,1,2020,1,1,127032671.78248058,,39034532.63,17.479957289982128,1.0
45,深纺织A,7471897.47,11199574.28,18671471.75,0.0033,2023,18671471.75,16.742507395641923,1,2020,1,1,136101505.17990837,,27360176.17,17.124599126209354,1.0
46,泛海建设,4595738.09,12204411.78,16800149.87,0.0008,2010,16800149.87,16.636898424690308,1,2010,1,1,131660029.09575924,,,,
46,泛海建设,2946122.71,20900402.34,23846525.05,0.001,2011,23846525.05,16.987149106408506,1,2010,1,1,105015746.08454272,,16800149.87,16.636898424690308,1.0
46,泛海建设,5672257.8,20249543.72,25921801.52,0.0008,2012,25921801.52,17.070594968697105,1,2010,1,1,109139859.98540215,,23846525.05,16.987149106408506,1.0
46,泛海建设,7424528.41,21863240.65,29287769.06,0.0007,2013,29287769.06,17.192680582754395,1,2010,1,1,115255679.49510665,,25921801.52,17.070594968697105,1.0
46,泛海控股,15355308.86,70873010.42,86228319.28,0.0012,2014,86228319.28,18.272509223207294,1,2010,1,1,221220797.47291237,,29287769.06,17.192680582754395,1.0
46,泛海控股,47418542.06,150453255.6,197871797.7,0.0017,2015,197871797.7,19.10312989763913,1,2010,1,1,140522083.91206482,,86228319.28,18.272509223207294,1.0
46,泛海控股,67774181.98,221599823.6,289374005.6,0.0017,2016,289374005.6,19.483230549883114,1,2010,1,1,127443425.31747851,,197871797.7,19.10312989763913,1.0
46,泛海控股,72171048.16,245983584.2,318154632.4,0.0017,2017,318154632.4,19.57804809110767,1,2010,1,1,122727009.01785138,,289374005.6,19.483230549883114,1.0
46,泛海控股,82222170.35,247957741.0,330179911.3,0.0016,2018,330179911.3,19.615148252651267,1,2010,1,1,135578842.30059227,,318154632.4,19.57804809110767,1.0
46,泛海控股,123633474.6,293769869.2,417403343.8,0.0023,2019,417403343.8,19.849563565991655,1,2010,1,1,142788275.93914923,,330179911.3,19.615148252651267,1.0
46,泛海控股,177850412.3,258914568.5,436764980.8,0.0024,2020,436764980.8,19.8949058093094,1,2010,1,1,142510111.68382886,,417403343.8,19.849563565991655,1.0
46,泛海控股,211482024.2,160550477.5,372032501.7,0.0034,2021,372032501.7,19.734491781270098,1,2010,1,1,136327382.172662,,436764980.8,19.8949058093094,1.0
46,泛海控股,260660256.0,106485579.0,367145835.0,0.0035,2022,367145835.0,19.72126970038399,1,2010,1,1,127032671.78248058,,372032501.7,19.734491781270098,1.0
48,康达尔,2075217.72,4918215.24,6993432.96,0.0058,2012,6993432.96,15.760482261102645,1,2012,1,1,109139859.98540215,,,,
48,康达尔,1554895.46,3551032.78,5105928.24,0.0038,2013,5105928.24,15.445913018481509,1,2012,1,1,115255679.49510665,,6993432.96,15.760482261102645,1.0
48,康达尔,1998941.47,4372747.26,6371688.73,0.0033,2015,6371688.73,15.667375256108405,1,2012,1,1,140522083.91206482,,5105928.24,15.445913018481509,1.0
48,康达尔,2658290.83,5453954.2,8112245.03,0.0041,2016,8112245.03,15.908885333495194,1,2012,1,1,127443425.31747851,,6371688.73,15.667375256108405,1.0
48,康达尔,2584750.86,6595776.78,9180527.64,0.0024,2017,9180527.64,16.032595346995304,1,2012,1,1,122727009.01785138,,8112245.03,15.908885333495194,1.0
48,康达尔,4530938.36,6268720.83,10799659.19,0.0017,2019,10799659.19,16.19502522771056,1,2012,1,1,142788275.93914923,,9180527.64,16.032595346995304,1.0
48,京基智农,6550066.69,10139709.61,16689776.3,0.0017,2020,16689776.3,16.630306952229642,1,2012,1,1,142510111.68382886,,10799659.19,16.19502522771056,1.0
